# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy
7090 1.48964 -0.235714
7100 1.45661 -0.236353
7110 1.46677 -0.241357
7120 1.45688 -0.241417
7130 1.47093 -0.242064
7140 1.53034 -0.242371
7150 1.52707 -0.239056
7160 1.50176 -0.238239
7170 1.54728 -0.237416
7180 1.50735 -0.244929
7190 1.50036 -0.241244
7200 1.52889 -0.226907
7210 1.52538 -0.246128
7220 1.51656 -0.242503
7230 1.50898 -0.239216
7240 1.53756 -0.240562
7250 1.47563 -0.24208
7260 1.47943 -0.230913
7270 1.5214 -0.247135
7280 1.52722 -0.236876
7290 1.55157 -0.231279
7300 1.50449 -0.233803
7310 1.50852 -0.237256
7320 1.52818 -0.249308
7330 1.52735 -0.251496
7340 1.52392 -0.243707
7350 1.51959 -0.230245
7360 1.51281 -0.237266
7370 1.49709 -0.244362
7380 1.51026 -0.249291
7390 1.51263 -0.248236
7400 1.51784 -0.242642
7410 1.44066 -0.233472
7420 1.43661 -0.242598
7430 1.46074 -0.248532
7440 1.51562 -0.245876
7450 1.49815 -0.236776
7460 1.4965 -0.23877
7470 1.52801 -0.241445
7480 1.50034 -0.238065
7490 1.49795 -0.240089
7500 1.5199 -0.240675
7510 1.52787 -0.239091
7520 1.53688 -0.239321
7530 1.48228 -0.223479
7540 1.50505 -0.233384
7550 1.49873 -0.235689
7560 1.44778 -0.238641
7570 1.48927 -0.236077
7580 1.47745 -0.241484
7590 1.50943 -0.244929
7600 1.49878 -0.238816
7610 1.49973 -0.231516
7620 1.51555 -0.246888
7630 1.48878 -0.24169
7640 1.53562 -0.23796
7650 1.53729 -0.239679
7660 1.53159 -0.238262
7670 1.51753 -0.23848
7680 1.45445 -0.238112
7690 1.50201 -0.239478
7700 1.46091 -0.242584
7710 1.49238 -0.242522
7720 1.47764 -0.234112
7730 1.48035 -0.234465
7740 1.47056 -0.236025
7750 1.48678 -0.2308
7760 1.48265 -0.233437
7770 1.47665 -0.233915
7780 1.46605 -0.226199
7790 1.46438 -0.226047
7800 1.47396 -0.233942
7810 1.52566 -0.233988
7820 1.55047 -0.232753
7830 1.50455 -0.231414
7840 1.508 -0.234531
7850 1.47927 -0.23227
7860 1.50739 -0.236995
7870 1.49812 -0.241342
7880 1.49593 -0.236914
7890 1.50199 -0.232632
7900 1.53148 -0.228683
7910 1.48261 -0.233454
7920 1.50839 -0.22866
7930 1.49884 -0.222686
7940 1.50828 -0.231163
7950 1.44971 -0.234923
7960 1.48115 -0.23038
7970 1.49727 -0.228429
7980 1.49936 -0.233593
7990 1.50473 -0.231882
8000 1.51436 -0.233055
8010 1.4907 -0.230348
8020 1.49033 -0.229061
8030 1.45729 -0.232013
8040 1.49417 -0.226422
8050 1.46244 -0.223094
8060 1.52618 -0.231338
8070 1.55271 -0.231383
8080 1.49474 -0.231798
8090 1.53273 -0.2268
8100 1.47855 -0.228532
8110 1.50439 -0.229811
8120 1.51871 -0.232863
8130 1.53552 -0.23183
8140 1.56414 -0.22911
8150 1.51079 -0.233281
8160 1.50642 -0.221075
8170 1.51901 -0.229543
8180 1.52312 -0.234293
8190 1.47667 -0.238786
8200 1.52904 -0.233193
8210 1.53067 -0.233905
8220 1.53235 -0.231487
8230 1.50945 -0.226696
8240 1.49958 -0.22846
8250 1.53147 -0.229654
8260 1.52707 -0.225399
8270 1.54844 -0.229818
8280 1.47818 -0.229792
8290 1.48038 -0.228761
8300 1.51678 -0.233992
8310 1.46155 -0.237638
8320 1.44428 -0.238287
8330 1.4477 -0.232268
8340 1.49179 -0.232656
8350 1.47912 -0.234518
8360 1.50379 -0.23189
8370 1.51875 -0.233641
8380 1.50224 -0.230403
8390 1.48429 -0.225728
8400 1.49475 -0.2398
8410 1.47811 -0.242584
8420 1.52412 -0.240279
8430 1.49528 -0.241488
8440 1.52812 -0.236315
8450 1.48328 -0.237668
8460 1.51092 -0.244371
8470 1.47871 -0.239163
8480 1.51491 -0.238302
8490 1.50174 -0.239217
8500 1.52016 -0.233995
8510 1.55435 -0.231974
8520 1.50135 -0.236388
8530 1.45601 -0.23874
8540 1.45263 -0.234975
8550 1.4685 -0.23046
8560 1.47976 -0.230735
8570 1.48505 -0.229559
8580 1.47184 -0.22917
8590 1.50806 -0.228383
